"","Totale stemmen","VVD","CDA","PVV","D66","SP","GL","PvdA","CU","50+","PvdD","SGP","FvD","DENK"
"Bladel",12621,0.262182077489898,0.192060850962681,0.131606053403058,0.0942080659218762,0.141114016322003,0.0536407574677125,0.0354963948973932,0.00594247682434039,0.0438950954757943,0.0206798193487045,0.00174312653513985,0.0171935662784248,0.000237699072973615
"Blaricum",6834,0.399912203687445,0.11164764413228,0.0891132572431958,0.134182031021364,0.0440444834650278,0.0512145156570091,0.0491659350307287,0.017705589698566,0.027363184079602,0.0313140181445713,0.00512145156570091,0.0323383084577114,0.00687737781679836
"Bloemendaal",15060,0.400929614873838,0.100332005312085,0.0559096945551129,0.18207171314741,0.0306772908366534,0.0841965471447543,0.0530544488711819,0.0142098273572377,0.0157370517928287,0.0423638778220452,0.00252324037184595,0.0169322709163347,0.00106241699867198
"Bodegraven-Reeuwijk",21798,0.273052573630608,0.16129920176163,0.117166712542435,0.0943205798697128,0.0402789246719883,0.0570235801449674,0.0361042297458482,0.0682631434076521,0.0240847784200385,0.0177080466097807,0.0812918616386824,0.0180750527571337,0.0113313147995229
"Boekel",6382,0.248354747727985,0.244907552491382,0.135067376997806,0.088060169225948,0.151833281103102,0.0401128172986525,0.0280476339705421,0.00407395800689439,0.0266374177373864,0.0173926668755876,0.00125352554058289,0.0139454716389846,0.000313381385145722
"Ten Boer",4799,0.110856428422588,0.177536986872265,0.0823088143363201,0.0866847259845801,0.13398624713482,0.109814544696812,0.0852260887684934,0.123984163367368,0.026880600125026,0.0302146280475099,0.0200041675349031,0.0122942279641592,0.000208376745155241
"Borger-Odoorn",16727,0.196090153643809,0.131344532791296,0.150654630238537,0.0911101811442578,0.145513242063729,0.0649847551862259,0.0890775393077061,0.0389788963950499,0.0365875530579303,0.0280385006277276,0.00741316434507084,0.0202068511986608,0
"Borne",14866,0.230055159424189,0.240548903538275,0.110251580788376,0.123705098883358,0.101304991255213,0.0640387461321135,0.0521323826180546,0.0156733485806538,0.0233418538947935,0.0166823624377775,0.002219830485672,0.0164805596663527,0.00356518229517019
"Borsele",14328,0.192071468453378,0.171621998883305,0.115159128978224,0.071608040201005,0.0787967615857063,0.0464126186487996,0.0443188163037409,0.0353852596314908,0.0342685650474595,0.0250558347292016,0.167434394193188,0.0175879396984925,0.000279173646007817
"Boxtel",18442,0.231753605899577,0.136156599067346,0.125040668040343,0.13485522177638,0.145103567942739,0.086107797418935,0.0504283700249431,0.00867584860644182,0.0308534866066587,0.025105736904891,0.000976032968224704,0.0144235983082095,0.0105194664353107
"Breda",108986,0.276558457049529,0.0963242985337566,0.117070082395904,0.151652505826436,0.0963242985337566,0.106132897803388,0.0488594865395555,0.0101113904538198,0.0254252839814288,0.0341236489090342,0.00144972748793423,0.0164057768887747,0.0195621455966821
"Brielle",10874,0.290601434614677,0.110538900128747,0.18061430936178,0.0983078903807247,0.0876402427809454,0.0555453375022991,0.0556372999816075,0.0138863343755748,0.0385322788302373,0.0302556556924775,0.00459812396542211,0.0323707927165716,0.00147139966893507
"Bronckhorst",24292,0.260291453976618,0.215173719743125,0.0927465832372798,0.117322575333443,0.0935287337395027,0.0611724024370163,0.0603902519347933,0.0210768977441133,0.0302157088753499,0.024370163016631,0.00926230857895603,0.0134200559855096,0.00102914539766178
"Brummen",13659,0.234204553774068,0.125338604583059,0.122190497108134,0.122336920711619,0.110256973424116,0.0843399956072919,0.0785562632696391,0.0180101032286405,0.0356541474485687,0.029723991507431,0.00417307269931913,0.0156673255728823,0.0195475510652317
"Brunssum",17183,0.130070418436827,0.113658848862248,0.268346621660944,0.0734446836990048,0.187627306058313,0.0552290054123261,0.043007623814235,0.0129779433160682,0.0555781877437002,0.0335797008671361,0.00261886748530524,0.0187394517837397,0.00512134086015248
"Bunnik",10161,0.246530853262474,0.147032772364925,0.0785355772069678,0.167306367483515,0.0454679657514024,0.134041925007381,0.0674146245448283,0.03228028737329,0.0202735951185907,0.0305088081881705,0.0158448971557918,0.0133845093986812,0.00137781714398189
"Bunschoten",13337,0.152957936567444,0.250581090200195,0.13308840068981,0.025642948189248,0.0232436080077979,0.0193446802129414,0.0126715153332833,0.257029316937842,0.0181450101222164,0.00734797930569094,0.0761040713803704,0.0167204018894804,0.00712304116367999
"Buren",16948,0.283278262921879,0.122551333490677,0.17819211706396,0.0924592872315317,0.0646683974510267,0.046023129572811,0.0538706632050979,0.0274368657068681,0.0335732829832429,0.0239556289827708,0.0522775548737314,0.0210054283691291,0.000708048147274015
"Capelle aan den IJssel",37925,0.207092946605142,0.0905735003295979,0.169782465392221,0.106526038233355,0.0850098879367172,0.076704021094265,0.0580883322346737,0.041766644693474,0.0405009887936717,0.0348846407382993,0.0531575477916941,0.0226763348714568,0.0132366512854318
"Castricum",24162,0.29310487542422,0.116505256187402,0.0826504428441354,0.149656485390282,0.0709792235742074,0.111166294180945,0.0716828077145932,0.0122920288055625,0.0282261402201804,0.0408492674447479,0.0018624286069034,0.019865905140303,0.00115884446651767
"Coevorden",22718,0.225504005634299,0.16898494585791,0.142133990668193,0.0924377145875517,0.116471520380315,0.0586759397834316,0.0874636851835549,0.02561845232855,0.0369750858350207,0.0204683510872436,0.00765912492296857,0.0167708425037415,0.000836341227220706
"Cranendonck",12930,0.248337200309358,0.180123743232792,0.177880897138438,0.0922660479505027,0.125986078886311,0.0423820572312452,0.0328692962103635,0.00688321732405259,0.0461716937354988,0.0259860788863109,0.00139211136890951,0.0187161639597834,0.00100541376643465
"Cromstrijen",8685,0.261024755325273,0.135405872193437,0.155440414507772,0.0869314910765688,0.0712723085780081,0.0491652274035694,0.0538860103626943,0.0355785837651123,0.0373056994818653,0.0255613126079447,0.0671272308578008,0.0210708117443869,0.00023028209556707
"Cuijk",15574,0.210286374727109,0.140105303711314,0.127134968537306,0.11294465134198,0.19641710543213,0.0715294721972518,0.0405162450237575,0.0062283292667266,0.0282522152305124,0.0238859637857968,0.000513676640554771,0.011686143572621,0.0304995505329395
"Culemborg",17454,0.210438867881288,0.0963675948206715,0.132691646613957,0.131717657843474,0.0727053970436576,0.126102899048929,0.0658301821931935,0.0288759023719491,0.0279592070585539,0.0376418013062908,0.0100263549902601,0.0155265268706314,0.0441159619571445
"Dalfsen",18583,0.194801700478932,0.320615616423613,0.0786740569337567,0.0847010708712264,0.0676962815476511,0.0430500995533552,0.0428886616800301,0.0889522682021202,0.0248076198676209,0.0164666630791584,0.0245385567454125,0.0126459667437981,0.000161437873325082
"Dantumadiel",11913,0.0984638630067993,0.261730882229497,0.142953076471082,0.0501133215814656,0.124569797699992,0.0462519936204147,0.0585914547133384,0.104843448333753,0.0268614119029632,0.0169562662637455,0.0556534877864518,0.0127591706539075,0.00025182573659028
"Delft",59617,0.180820906788332,0.075632789305064,0.116829092372981,0.206316990120268,0.0680175117835517,0.145965077075331,0.066256269184964,0.0322055789456028,0.0266702450643273,0.0393847392522267,0.00543469144707047,0.0173104986832615,0.01915560997702
"Delfzijl",14990,0.131754503002001,0.138759172781855,0.160173448965977,0.0793862575050033,0.169446297531688,0.0685790527018012,0.0881921280853903,0.0531687791861241,0.0482321547698466,0.0230153435623749,0.0057371581054036,0.0156771180787191,0.0178785857238159
"Deurne",19856,0.261130136986301,0.195608380338437,0.145598307816277,0.0912570507655117,0.139202256244964,0.054441982272361,0.032030620467365,0.00448227236099919,0.0387792103142627,0.0186341659951652,0.00125906526994359,0.0156124093473006,0.00196414182111201
"Deventer",60979,0.186113252103183,0.102756686728218,0.106954853310156,0.149149707276275,0.104609783696026,0.120320110201873,0.084012528903393,0.026763311959855,0.0296823496613588,0.0363731776513226,0.00309942767182145,0.0127912888043425,0.037373522032175
"Diemen",15096,0.206147323794383,0.0617382087970323,0.120959194488606,0.150172231054584,0.0760466348701643,0.153219395866455,0.0857843137254902,0.0178192898781134,0.0391494435612083,0.044912559618442,0.00105988341282459,0.0196740858505564,0.023317435082141
"Dinkelland",17586,0.253155919481406,0.373023996360742,0.112305242806778,0.083361765040373,0.0621517115887638,0.0337768679631525,0.0315023313999773,0.00523143409530308,0.0212669168656886,0.0105765950187649,0.00159217559422268,0.0116569998862732,0.000398043898555669
"Doesburg",7334,0.184619580038178,0.112353422416144,0.143714207799291,0.119580038178347,0.146986637578402,0.0857649304608672,0.0662667030269975,0.0207253886010363,0.032315244068721,0.0338151077174802,0.00286337605672212,0.014044177802018,0.0369511862557949
"Doetinchem",35215,0.215135595626864,0.141303421837285,0.127360499787023,0.128269203464433,0.126622178049127,0.0818117279568366,0.0650575039045861,0.0231435467840409,0.0289081357376118,0.0246769842396706,0.0101093284111884,0.0131762033224478,0.0144256708788868
"Dongen",15818,0.260083449235049,0.136869389303325,0.134972815779492,0.116639271715767,0.122328992287268,0.0696042483246934,0.0500063219117461,0.0134024529017575,0.0346440763686939,0.0224427866986977,0.00341383234290049,0.0149829308382855,0.0206094322923252
"Dongeradeel",14976,0.12747061965812,0.304220085470085,0.113648504273504,0.0680422008547008,0.106103098290598,0.0601629273504274,0.055221688034188,0.0794604700854701,0.0264423076923077,0.0255074786324786,0.0142227564102564,0.0192975427350427,0.000200320512820513
"Dordrecht",68424,0.185519700689816,0.093563661873027,0.15919852683269,0.103779375657664,0.0946743832573366,0.0926867765696247,0.0573629135975681,0.0473079621185549,0.0324593709809424,0.0396790599789548,0.0309978954752718,0.0171284929264586,0.0456418800420905
"Drechterland",12398,0.316905952572996,0.147846426843039,0.121793837715761,0.120745281497016,0.0708178738506211,0.0654944345862236,0.0524278109372479,0.0112114857235038,0.036054202290692,0.0283916760767866,0.00217777060816261,0.0258912727859332,0.000241974512018067
"Drimmelen",17196,0.281228192602931,0.135322167946034,0.168469411491044,0.102930914166085,0.114328913700861,0.0604791812049314,0.0418702023726448,0.00843219353337986,0.040067457548267,0.0260525703652012,0.00273319376599209,0.0172133054198651,0.000872295882763433
