"Muni","GL","Urban_index","High_edu_perc","Mean_income","Non_west"
"Mook en Middelaar",0.108229147228961,0.437580437580438,0.31,29.5,1
"Neder-Betuwe",0.0280809063738097,0.517374517374517,0.19,24.6,1
"Nederweert",0.0468793861701132,0.755186721991701,0.27,25.1,1
"Neerijnen",0.0422827496757458,0,0.28,28,1
"Nieuwegein",0.0861201538916839,2.89591078066915,0.27,25.6,3
"Nieuwkoop",0.0569496451126139,0.51432664756447,0.26,28.2,1
"Nijkerk",0.0480681818181818,1.73264719961704,0.22,26.3,2
"Nijmegen",0.203904891131125,3.01636321733118,0.43,23.8,3
"Nissewaard",0.06064349155932,2.74019435663271,0.2,25.2,3
"Noord-Beveland",0.0539100788408268,0,0.25,24.6,1
"Noordenveld",0.100206959618809,0.839599757428745,0.3,25.5,2
"Noordoostpolder",0.0485045045045045,0.96691018478728,0.2,24.2,2
"Noordwijk",0.0715330246161345,2.43834557402397,0.29,28.7,2
"Noordwijkerhout",0.0648884578079534,1.80208333333333,0.24,26.3,1
"Nunspeet",0.0288745178125709,1.1368538490145,0.19,25.2,1
"Nuth",0.0638718607870279,0.473546701502286,0.3,25.9,1
"Oegstgeest",0.102975437662251,2.63362981787378,0.45,34,2
"Oirschot",0.0510212519639461,0.70972972972973,0.26,27.6,1
"Oisterwijk",0.0778774920195145,1.46414803392444,0.33,28.4,2
"Oldambt",0.0724423418095801,1.0390870933893,0.16,21.6,1
"Oldebroek",0.0267522009144885,0.896818572656922,0.18,24.1,1
"Oldenzaal",0.0658023006434003,2.17713214620431,0.27,24.7,2
"Olst-Wijhe",0.0800923155825284,0.503064066852368,0.26,25.3,1
"Ommen",0.0422218376881813,0.65373645179692,0.22,25.2,1
"Onderbanken",0.0635964912280702,0.567430025445293,0.2,23.8,1
"Oost Gelre",0.0576714940988507,1.05028687141411,0.23,25,1
"Oosterhout",0.0731215178436982,2.22523347372276,0.27,25.9,3
"Ooststellingwerf",0.080380881716441,0.482974559686888,0.2,22.9,1
"Oostzaan",0.0786463298379409,1.54507772020725,0.28,28.2,2
"Opmeer",0.0670002780094523,0.619089316987741,0.25,25.9,1
"Opsterland",0.0856155277851635,0.360026917900404,0.2,24.2,1
"Oss",0.062737746391715,1.90906073680717,0.26,25,2
"Oud-Beijerland",0.057276036013026,2.16860949208993,0.26,27.3,1
"Oude IJsselstreek",0.0611920108219941,0.857215061915593,0.24,23.5,2
"Ouder-Amstel",0.105541531434067,1.82563338301043,0.36,31.5,3
"Oudewater",0.0539519419676591,1.21764705882353,0.27,28.3,1
"Overbetuwe",0.0743691010107772,1.13673770837729,0.3,26.1,1
"Papendrecht",0.0637889452182901,2.73760842627014,0.28,26.4,2
"Peel en Maas",0.0482076176250934,0.734948096885813,0.2,24.9,1
"Pekela",0.0571938005760527,0.48482428115016,0.16,20.8,1
"Pijnacker-Nootdorp",0.0716141350277004,2.40903911887581,0.37,29.3,3
"Purmerend",0.0877871419263992,3.18591267358939,0.23,24.8,3
"Putten",0.0294761874960886,1.34015554645927,0.29,25.9,1
"Raalte",0.0593286494925839,0.829856407477648,0.24,25.1,1
"Reimerswaal",0.0238058904318633,0.636404293381038,0.17,24.5,1
"Renkum",0.11716948501153,1.29490445859873,0.4,28.4,2
"Renswoude",0.0191950464396285,0.594911937377691,0.28,27,1
