"Muni","CDA","GL","Urban_index","High_edu_perc","Mean_income","Non_west_perc","Non_west"
"Midden-Drenthe",0.176307159774094,0.0716888322098743,0.361485474693022,0.26,24.7,0.03,"1"
"Mill en Sint Hubert",0.204961197339246,0.0451773835920177,0.235892691951896,0.21,25.3,0.02,"1"
"Moerdijk",0.14446992414888,0.0552566590227553,1.07117726657645,0.26,26.1,0.04,"1"
"Molenwaard",0.173679164891351,0.0294524925436728,0.422458062307429,0.21,27.2,0.03,"1"
"Montferland",0.186853927683517,0.0539538535351332,0.999716874292186,0.2,24,0.03,"1"
"Montfoort",0.164803857111549,0.0578566732412886,0.865800865800866,0.29,28.7,0.05,"2"
"Mook en Middelaar",0.119798469863781,0.108229147228961,0.437580437580438,0.31,29.5,0.04,"1"
"Neder-Betuwe",0.109960380899423,0.0280809063738097,0.517374517374517,0.19,24.6,0.02,"1"
"Nederweert",0.216805464583138,0.0468793861701132,0.755186721991701,0.27,25.1,0.02,"1"
"Neerijnen",0.147081712062257,0.0422827496757458,0,0.28,28,0.03,"1"
"Nieuwegein",0.106674917269768,0.0861201538916839,2.89591078066915,0.27,25.6,0.16,"3"
"Nieuwkoop",0.178058458615101,0.0569496451126139,0.51432664756447,0.26,28.2,0.04,"1"
"Nijkerk",0.184734848484848,0.0480681818181818,1.73264719961704,0.22,26.3,0.06,"2"
"Nijmegen",0.0672428080975494,0.203904891131125,3.01636321733118,0.43,23.8,0.14,"3"
"Nissewaard",0.0938964374644629,0.06064349155932,2.74019435663271,0.2,25.2,0.14,"3"
"Noord-Beveland",0.14873215427232,0.0539100788408268,0,0.25,24.6,0.03,"1"
"Noordenveld",0.124993983732011,0.100206959618809,0.839599757428745,0.3,25.5,0.08,"2"
"Noordoostpolder",0.203495495495496,0.0485045045045045,0.96691018478728,0.2,24.2,0.07,"2"
"Noordwijk",0.116134535705581,0.0715330246161345,2.43834557402397,0.29,28.7,0.05,"2"
"Noordwijkerhout",0.13996120271581,0.0648884578079534,1.80208333333333,0.24,26.3,0.04,"1"
"Nunspeet",0.165929203539823,0.0288745178125709,1.1368538490145,0.19,25.2,0.03,"1"
"Nuth",0.1815305517105,0.0638718607870279,0.473546701502286,0.3,25.9,0.03,"1"
"Oegstgeest",0.103840777474539,0.102975437662251,2.63362981787378,0.45,34,0.08,"2"
"Oirschot",0.1970561481849,0.0510212519639461,0.70972972972973,0.26,27.6,0.03,"1"
"Oisterwijk",0.146840932361621,0.0778774920195145,1.46414803392444,0.33,28.4,0.05,"2"
"Oldambt",0.101883923291375,0.0724423418095801,1.0390870933893,0.16,21.6,0.03,"1"
"Oldebroek",0.195386610250461,0.0267522009144885,0.896818572656922,0.18,24.1,0.02,"1"
"Oldenzaal",0.208471436927276,0.0658023006434003,2.17713214620431,0.27,24.7,0.08,"2"
"Olst-Wijhe",0.206940764167878,0.0800923155825284,0.503064066852368,0.26,25.3,0.03,"1"
"Ommen",0.32349887523793,0.0422218376881813,0.65373645179692,0.22,25.2,0.03,"1"
"Onderbanken",0.146132376395534,0.0635964912280702,0.567430025445293,0.2,23.8,0.03,"1"
"Oost Gelre",0.246353656651033,0.0576714940988507,1.05028687141411,0.23,25,0.03,"1"
"Oosterhout",0.119018220147568,0.0731215178436982,2.22523347372276,0.27,25.9,0.11,"3"
"Ooststellingwerf",0.169789154764113,0.080380881716441,0.482974559686888,0.2,22.9,0.02,"1"
"Oostzaan",0.0672068636796949,0.0786463298379409,1.54507772020725,0.28,28.2,0.07,"2"
"Opmeer",0.156936335835418,0.0670002780094523,0.619089316987741,0.25,25.9,0.03,"1"
"Opsterland",0.169901621909067,0.0856155277851635,0.360026917900404,0.2,24.2,0.03,"1"
"Oss",0.144568006843456,0.062737746391715,1.90906073680717,0.26,25,0.09,"2"
"Oud-Beijerland",0.117872421939851,0.057276036013026,2.16860949208993,0.26,27.3,0.04,"1"
"Oude IJsselstreek",0.187276199570303,0.0611920108219941,0.857215061915593,0.24,23.5,0.06,"2"
"Ouder-Amstel",0.100132227431182,0.105541531434067,1.82563338301043,0.36,31.5,0.12,"3"
"Oudewater",0.187849478615687,0.0539519419676591,1.21764705882353,0.27,28.3,0.04,"1"
"Overbetuwe",0.152051676819064,0.0743691010107772,1.13673770837729,0.3,26.1,0.04,"1"
"Papendrecht",0.133533494118226,0.0637889452182901,2.73760842627014,0.28,26.4,0.09,"2"
"Peel en Maas",0.236258401792382,0.0482076176250934,0.734948096885813,0.2,24.9,0.04,"1"
"Pekela",0.102043615416267,0.0571938005760527,0.48482428115016,0.16,20.8,0.04,"1"
"Pijnacker-Nootdorp",0.128767723559423,0.0716141350277004,2.40903911887581,0.37,29.3,0.12,"3"
"Purmerend",0.0804102477879826,0.0877871419263992,3.18591267358939,0.23,24.8,0.17,"3"
"Putten",0.210776644345704,0.0294761874960886,1.34015554645927,0.29,25.9,0.03,"1"
"Raalte",0.292205924647685,0.0593286494925839,0.829856407477648,0.24,25.1,0.03,"1"
"Reimerswaal",0.11864794750496,0.0238058904318633,0.636404293381038,0.17,24.5,0.04,"1"
"Renkum",0.121252882398155,0.11716948501153,1.29490445859873,0.4,28.4,0.05,"2"
"Renswoude",0.219504643962848,0.0191950464396285,0.594911937377691,0.28,27,0.02,"1"
"Reusel-De Mierden",0.201910988182047,0.0451345235101836,0.707751937984496,0.31,25.9,0.02,"1"
"Rheden",0.109812420065369,0.101890009947421,2.16911090742438,0.3,25.2,0.07,"2"
"Rhenen",0.126294660778804,0.0610196708149338,1.0877103518613,0.28,26.3,0.05,"2"
"Ridderkerk",0.12029761490856,0.0552117377094778,2.54767672318872,0.24,25.3,0.1,"3"
"Rijnwaarden",0.142347696879643,0.0554234769687964,0.351749539594843,0.14,23,0.03,"1"
"Rijssen-Holten",0.203543752018082,0.0277688085243784,1.71782047907344,0.2,24.7,0.05,"2"
"Roerdalen",0.166875097702048,0.0533062372987338,0.276195074843071,0.24,25.2,0.03,"1"
"Roermond",0.120378358392901,0.07995439980281,2.0993031358885,0.29,23.6,0.14,"3"
