"Gemeente","Dutch_perc","West_perc","Non_west_perc"
"Westland",0.86,0.08,0.06
"Weststellingwerf",0.92,0.04,0.04
"Westvoorne",0.89,0.07,0.04
"Wierden",0.93,0.05,0.02
"Wijchen",0.88,0.07,0.05
"Wijdemeren",0.87,0.09,0.04
"Wijk bij Duurstede",0.88,0.06,0.05
"Winsum",0.93,0.05,0.03
"Winterswijk",0.85,0.09,0.06
"Woensdrecht",0.78,0.19,0.03
"Woerden",0.86,0.07,0.08
"Wormerland",0.87,0.07,0.06
"Woudenberg",0.91,0.05,0.05
"Woudrichem",0.93,0.04,0.02
"Zaanstad",0.7,0.1,0.2
"Zaltbommel",0.88,0.06,0.06
"Zandvoort",0.79,0.14,0.08
"Zederik",0.95,0.03,0.02
"Zeewolde",0.82,0.12,0.06
"Zeist",0.77,0.1,0.14
"Zevenaar",0.85,0.1,0.05
"Zoetermeer",0.69,0.11,0.2
"Zoeterwoude",0.88,0.06,0.05
"Zuidhorn",0.93,0.04,0.03
"Zuidplas",0.85,0.08,0.08
"Zundert",0.84,0.13,0.03
"Zutphen",0.83,0.09,0.09
"Zwartewaterland",0.95,0.03,0.02
"Zwijndrecht",0.79,0.08,0.13
"Zwolle",0.84,0.07,0.1
