"Muni","GL_frac","Urban_index","High_educated_frac","Mean_income","GL_abs","Total_abs"
"Simpelveld",0.058,0.831,0.22,24.1,383,6613
"Sint-Michielsgestel",0.072,0.759,0.3,28.1,1309,18106
"Sint Anthonis",0.047,0.192,0.18,26.3,372,7861
"Sittard-Geleen",0.08,2.048,0.25,23.8,4576,57228
"Sliedrecht",0.043,2.423,0.21,24.6,659,15157
"Slochteren",0.083,0.003,0.27,25,782,9429
"Sluis",0.055,0.431,0.28,24.9,742,13506
"Smallingerland",0.08,1.832,0.25,23,2800,34890
"Soest",0.08,2.197,0.35,28.6,2334,29358
"Someren",0.043,0.893,0.2,25.2,522,12023
"Son en Breugel",0.071,0.838,0.35,29.7,754,10565
"Stadskanaal",0.051,1.063,0.17,21.5,990,19280
"Staphorst",0.02,0.386,0.18,24.5,212,10730
"Stede Broec",0.067,1.845,0.19,24.6,882,13167
"Steenbergen",0.048,0.955,0.22,24.8,686,14346
"Steenwijkerland",0.058,0.74,0.22,23.6,1628,28023
"Stichtse Vecht",0.08,1.75,0.34,29.4,3263,40895
"Strijen",0.05,0.719,0.22,27.2,296,5898
"Ten Boer",0.11,0.528,0.27,24.7,527,4799
"Terneuzen",0.058,1.12,0.2,24.5,1754,30348
"Terschelling",0.092,0,0.23,25.9,335,3650
"Texel",0.102,0.783,0.28,24.3,1003,9812
"Teylingen",0.077,2.304,0.33,29.8,1789,23324
"Tholen",0.031,0.557,0.16,24,491,15860
"Tiel",0.083,2.075,0.21,24.3,1982,23934
"Tilburg",0.122,3.066,0.31,23.4,14456,118920
"Tubbergen",0.027,0.21,0.23,25.5,374,13682
"Twenterand",0.028,0.663,0.2,22.9,589,20851
"Tynaarlo",0.112,0.558,0.35,27.7,2485,22105
"Tytsjerksteradiel",0.074,0.469,0.25,23.9,1526,20493
"Uden",0.064,1.931,0.28,25.5,1644,25602
"Uitgeest",0.093,1.724,0.26,27.8,815,8802
"Uithoorn",0.077,2.183,0.32,27.5,1368,17817
"Urk",0.002,1.704,0.17,24,29,11674
"Utrechtse Heuvelrug",0.097,1.115,0.39,30.2,3136,32406
"Vaals",0.068,1.461,0.21,22.2,315,4647
"Valkenburg aan de Geul",0.069,0.711,0.26,25.3,762,11012
"Valkenswaard",0.062,2.106,0.21,25.3,1227,19636
"Veendam",0.07,1.479,0.22,22.2,1183,16823
"Veenendaal",0.052,2.952,0.28,24.8,2079,40046
"Veere",0.054,0.251,0.22,26.7,811,14979
"Veldhoven",0.069,2.49,0.34,27,1913,27769
"Velsen",0.081,2.75,0.25,25.8,3389,41877
"Venlo",0.072,2.317,0.23,23.3,4138,57159
"Venray",0.061,1.413,0.25,24.7,1583,26100
"Vianen",0.071,1.29,0.27,26.5,870,12319
"Vlaardingen",0.074,3.571,0.22,23.6,3107,42228
"Vlagtwedde",0.057,0.296,0.22,22,563,9930
"Vlieland",0.11,0,NA,24.8,94,854
"Vlissingen",0.084,2.796,0.19,23.1,2133,25529
"Voerendaal",0.063,0.499,0.33,26.8,533,8432
"Voorschoten",0.093,2.652,0.37,30.9,1518,16271
"Voorst",0.06,0.717,0.27,26.3,953,15833
"Vught",0.094,1.936,0.4,29.9,1563,16693
"Waalre",0.075,1.054,0.36,31.3,822,11009
"Waalwijk",0.06,1.821,0.24,24.9,1690,28270
"Waddinxveen",0.058,2.278,0.27,26.7,979,17013
"Wageningen",0.204,2.716,0.45,25.3,4760,23338
"Wassenaar",0.049,2.075,0.39,39.3,742,15014
"Waterland",0.096,0.879,0.28,29.6,1136,11794
"Weert",0.058,1.798,0.24,24.8,1765,30307
"Weesp",0.122,2.563,0.34,26.9,1407,11539
"Werkendam",0.037,0.745,0.18,26.5,615,16820
"West Maas en Waal",0.054,0.292,0.25,25.6,671,12437
"Westerveld",0.085,0,0.24,25.6,1093,12934
"Westervoort",0.084,1.848,0.23,24.3,803,9546
"Westland",0.04,2.119,0.24,26.3,2624,66031
"Weststellingwerf",0.077,0.83,0.15,23,1247,16249
"Westvoorne",0.04,0.732,0.26,31.8,389,9608
"Wierden",0.037,0.943,0.29,26.4,600,16278
"Wijchen",0.072,1.726,0.31,25.8,1892,26258
"Wijdemeren",0.067,0.733,0.27,30.1,1051,15601
"Wijk bij Duurstede",0.087,1.637,0.28,27.9,1336,15379
"Winsum",0.126,0.445,0.31,24.2,1128,8929
"Winterswijk",0.087,1.774,0.2,23.5,1572,18054
"Woensdrecht",0.048,0.987,0.19,25.5,599,12599
"Woerden",0.079,1.84,0.33,28.4,2597,32948
"Wormerland",0.106,2.025,0.27,26.7,1101,10416
"Woudenberg",0.04,1.328,0.31,27.2,324,8092
"Woudrichem",0.041,0.226,0.25,26.8,394,9541
"Zaanstad",0.104,2.73,0.25,24.3,9214,88214
"Zaltbommel",0.057,0.789,0.26,26.5,974,17073
"Zandvoort",0.067,2.684,0.26,26.3,713,10679
"Zederik",0.035,0.053,0.22,27.1,320,9206
"Zeewolde",0.058,1.299,0.25,25.6,760,13144
"Zeist",0.117,2.362,0.44,29.5,4496,38406
"Zevenaar",0.072,1.751,0.25,24.2,1511,20928
"Zoetermeer",0.084,3.289,0.3,26,6209,74352
"Zoeterwoude",0.085,1.055,0.3,28.8,467,5521
"Zuidhorn",0.1,0.357,0.35,25.3,1236,12340
"Zuidplas",0.057,1.835,0.27,28.5,1503,26333
"Zundert",0.05,0.602,0.19,25.6,643,12911
"Zutphen",0.135,2.293,0.33,23.6,4005,29624
"Zwartewaterland",0.027,0.904,0.2,24.9,375,14011
"Zwijndrecht",0.059,2.977,0.23,25.2,1601,26913
"Zwolle",0.118,2.711,0.4,24.9,9374,79309
