Muni,VVD,CDA,PVV,D66,SP,GL,PvdA,CU,X50PLUS,PvdD,SGP,FvD,DENK,Urban_index,High_edu_perc,Mean_income,Dutch_perc,West_perc,Non_west_perc,Non_west,Perc_60plus
Etten-Leur,0.265938423,0.137653553,0.162183175,0.102005909,0.111296843,0.074210854,0.041401026,0.009407557,0.035492147,0.021808428,0.001982584,0.015666304,0.020953195,2.435277713,0.27,25.8,0.82,0.09,0.09,2,0.130917796
Ferwerderadiel,0.146920324,0.28084385,0.106423055,0.065172349,0.107553212,0.06178188,0.063665474,0.07722735,0.034846487,0.027500471,0.010171407,0.017140704,0.000753438,0,0.19,22.8,0.93,0.04,0.03,1,0.135203205
Franekeradeel,0.179189381,0.217903137,0.114245082,0.088646599,0.107687446,0.082563009,0.081219878,0.044402307,0.033894288,0.027020621,0.004819467,0.017539701,0.000869084,0.867457962,0.23,22.4,0.91,0.06,0.03,1,0.143012614
Geertruidenberg,0.25297216,0.127539503,0.192174567,0.087659895,0.137321294,0.06027088,0.043792325,0.009556057,0.039352897,0.021595184,0.003160271,0.022799097,0.001805869,1.781395349,0.2,25.4,0.9,0.06,0.03,1,0.133649554
Geldermalsen,0.256428156,0.134264107,0.1663758,0.087550902,0.056369983,0.053344968,0.042524724,0.02530541,0.032286213,0.019604421,0.101512507,0.021116928,0.003315881,0.738999624,0.27,27.7,0.91,0.05,0.04,1,0.126528002
Geldrop-Mierlo,0.219304764,0.13941871,0.152877549,0.124184626,0.133762695,0.080959458,0.043720585,0.01234415,0.036124185,0.029890182,0.001279828,0.016390059,0.009743209,2.069600819,0.3,25.9,0.83,0.09,0.08,2,0.132708941
Gemert-Bakel,0.230677829,0.199351877,0.153551175,0.092357548,0.160032406,0.05762895,0.031379962,0.003672698,0.033162301,0.021118012,0.001242236,0.015122873,0.000702133,1.18254497,0.2,24.9,0.9,0.07,0.03,1,0.132427391
Gennep,0.212690403,0.1420428,0.128586113,0.103635174,0.217269414,0.064760303,0.047752546,0.007756284,0.026259228,0.026539576,0.001027941,0.015699467,0.005980749,0.810274372,0.27,24.6,0.86,0.1,0.04,1,0.149804425
Giessenlanden,0.255579334,0.177111994,0.108223785,0.068990115,0.063385305,0.040048915,0.051258535,0.104147559,0.024864975,0.018037297,0.070111077,0.017527769,0.000713339,0.098630137,0.27,28.7,0.93,0.04,0.02,1,0.134625925
Gilze en Rijen,0.241776621,0.139750976,0.145945611,0.11249458,0.12234405,0.071919718,0.04299077,0.005575172,0.044229697,0.022610419,0.001858391,0.019265316,0.029238679,1.738267837,0.29,25.4,0.84,0.08,0.09,2,0.133295195
Goeree-Overflakkee,0.194914987,0.129491183,0.156272673,0.053215987,0.066307057,0.034636131,0.043405571,0.073499259,0.030156777,0.020787988,0.178038548,0.019021482,0.000252358,0.886742035,0.23,26.2,0.94,0.04,0.02,1,0.133640269
