"Muni","CDA_frac","Urban_index","High_educated_frac","Mean_income","Non_west_frac","CDA_abs","Total_abs","Non_west"
"Noordwijk",0.116,2.438,0.29,28.7,0.05,1906,16412,"2"
"Noordwijkerhout",0.14,1.802,0.24,26.3,0.04,1443,10310,"1"
"Nunspeet",0.166,1.137,0.19,25.2,0.03,2925,17628,"1"
"Nuth",0.182,0.474,0.3,25.9,0.03,1836,10114,"1"
"Oegstgeest",0.104,2.634,0.45,34,0.08,1560,15023,"2"
"Oirschot",0.197,0.71,0.26,27.6,0.03,2383,12093,"1"
"Oisterwijk",0.147,1.464,0.33,28.4,0.05,2438,16603,"2"
"Oldambt",0.102,1.039,0.16,21.6,0.03,2412,23674,"1"
"Oldebroek",0.195,0.897,0.18,24.1,0.02,2863,14653,"1"
"Oldenzaal",0.208,2.177,0.27,24.7,0.08,4277,20516,"2"
"Olst-Wijhe",0.207,0.503,0.26,25.3,0.03,2421,11699,"1"
"Ommen",0.323,0.654,0.22,25.2,0.03,3739,11558,"1"
"Onderbanken",0.146,0.567,0.2,23.8,0.03,733,5016,"1"
"Oost Gelre",0.246,1.05,0.23,25,0.03,4780,19403,"1"
"Oosterhout",0.119,2.225,0.27,25.9,0.11,3952,33205,"3"
"Ooststellingwerf",0.17,0.483,0.2,22.9,0.02,2746,16173,"1"
"Oostzaan",0.067,1.545,0.28,28.2,0.07,423,6294,"2"
"Opmeer",0.157,0.619,0.25,25.9,0.03,1129,7194,"1"
"Opsterland",0.17,0.36,0.2,24.2,0.03,3195,18805,"1"
"Oss",0.145,1.909,0.26,25,0.09,7943,54943,"2"
"Oud-Beijerland",0.118,2.169,0.26,27.3,0.04,1846,15661,"1"
"Oude IJsselstreek",0.187,0.857,0.24,23.5,0.06,4707,25134,"2"
"Ouder-Amstel",0.1,1.826,0.36,31.5,0.12,833,8319,"3"
"Oudewater",0.188,1.218,0.27,28.3,0.04,1243,6617,"1"
"Overbetuwe",0.152,1.137,0.3,26.1,0.04,4543,29878,"1"
"Papendrecht",0.134,2.738,0.28,26.4,0.09,2713,20317,"2"
"Peel en Maas",0.236,0.735,0.2,24.9,0.04,6327,26780,"1"
"Pekela",0.102,0.485,0.16,20.8,0.04,744,7291,"1"
"Pijnacker-Nootdorp",0.129,2.409,0.37,29.3,0.12,4114,31949,"3"
"Purmerend",0.08,3.186,0.23,24.8,0.17,3826,47581,"3"
"Putten",0.211,1.34,0.29,25.9,0.03,3368,15979,"1"
"Raalte",0.292,0.83,0.24,25.1,0.03,7112,24339,"1"
"Reimerswaal",0.119,0.636,0.17,24.5,0.04,1555,13106,"1"
"Renkum",0.121,1.295,0.4,28.4,0.05,2524,20816,"2"
"Renswoude",0.22,0.595,0.28,27,0.02,709,3230,"1"
