"Muni","CDA","Urban_index","High_edu_perc","Mean_income","Non_west","Perc_60plus"
"Zeist",0.097719106,2.361553151,0.44,29.5,"3",0.121677543
"Zevenaar",0.155867737,1.751080914,0.25,24.2,"2",0.150838506
"Zoetermeer",0.099849365,3.288530897,0.3,26,"3",0.135825525
"Zoeterwoude",0.171345771,1.054958184,0.3,28.8,"2",0.131827417
"Zuidhorn",0.188168558,0.356839873,0.35,25.3,"1",0.126464818
"Zuidplas",0.122811681,1.83506149,0.27,28.5,"2",0.129593904
"Zundert",0.183099682,0.602493075,0.19,25.6,"1",0.137461329
"Zutphen",0.094484202,2.293409379,0.33,23.6,"2",0.140409801
"Zwartewaterland",0.195703376,0.904078888,0.2,24.9,"1",0.11390022
"Zwijndrecht",0.127001821,2.977262494,0.23,25.2,"3",0.12767634
"Zwolle",0.11423672,2.710951812,0.4,24.9,"3",0.100821996
