"","Zeer.sterk.stedelijk","Sterk.stedelijk","Matig.stedelijk","Weinig.stedelijk","Niet.stedelijk","stedelijkheidsindex"
"Menameradiel",0,0,0,0,13450,0
"Menterwolde",0,0,0,4000,8160,0.328947368421053
"Meppel",0,10460,9580,7120,5870,1.74568574023615
"Middelburg",12170,14490,9600,7310,4440,2.47156842324516
"Midden-Delfland",3340,3280,1470,9090,1850,1.85128744088282
"Midden-Drenthe",0,0,1580,8910,22900,0.361485474693022
"Mill en Sint Hubert",0,0,0,2550,8260,0.235892691951896
"Moerdijk",0,5170,5940,12190,13650,1.07117726657645
"Molenwaard",0,0,2520,7300,19390,0.422458062307429
"Montferland",0,1090,11500,9040,13690,0.999716874292186
"Montfoort",0,0,3040,5920,4900,0.865800865800866
"Mook en Middelaar",0,0,0,3400,4370,0.437580437580438
"Neder-Betuwe",0,0,0,12060,11250,0.517374517374517
"Nederweert",0,0,4140,4460,8270,0.755186721991701
"Neerijnen",0,0,0,0,12340,0
"Nieuwegein",12900,33700,11680,3110,480,2.89591078066915
"Nieuwkoop",0,0,1630,11100,15190,0.51432664756447
"Nijkerk",0,11190,14300,10220,6070,1.73264719961704
"Nijmegen",61090,74980,17230,19760,500,3.01636321733118
"Nissewaard",29870,27840,10930,9180,7590,2.74019435663271
"Noord-Beveland",0,0,0,0,7380,0
"Noordenveld",0,700,7460,10670,14150,0.839599757428745
"Noordoostpolder",0,5770,10510,6670,23590,0.96691018478728
"Noordwijk",960,15300,5170,3000,1440,2.43834557402397
"Noordwijkerhout",0,6010,5050,1280,3980,1.80208333333333
"Nuenen, Gerwen en Nederwetten",0,4150,10010,4030,4680,1.59597726278968
"Nunspeet",0,0,12370,5830,8690,1.1368538490145
"Nuth",0,0,20,7210,8080,0.473546701502286
"Oegstgeest",0,17120,4350,2120,20,2.63362981787378
"Oirschot",0,0,4100,4930,9470,0.70972972972973
"Oisterwijk",0,2420,10510,9700,3310,1.46414803392444
"Oldambt",0,5420,7190,8970,16540,1.0390870933893
"Oldebroek",0,0,6930,7000,9330,0.896818572656922
"Oldenzaal",1590,12770,8810,7400,1440,2.17713214620431
"Olst-Wijhe",0,0,0,9030,8920,0.503064066852368
"Ommen",0,0,3030,5400,9100,0.65373645179692
"Onderbanken",0,0,0,4460,3400,0.567430025445293
"Oost Gelre",0,0,10460,10200,8970,1.05028687141411
"Oosterhout",3170,24520,13940,7400,5580,2.22523347372276
"Ooststellingwerf",0,0,1520,9300,14730,0.482974559686888
"Oostzaan",0,0,6170,2570,910,1.54507772020725
"Opmeer",0,0,0,7070,4350,0.619089316987741
"Opsterland",0,0,740,9220,19760,0.360026917900404
"Oss",9950,27670,17180,15390,20200,1.90906073680717
"Oud-Beijerland",0,9690,9200,4620,510,2.16860949208993
"Oude IJsselstreek",0,0,6040,21840,11690,0.857215061915593
"Ouder-Amstel",1600,1420,4030,5780,590,1.82563338301043
