"Muni","CDA","Urban_index","High_edu_perc","Mean_income","Non_west_perc","Non_west"
"Tynaarlo",0.113503732187288,0.557692307692308,0.35,27.7,0.03,"1"
"Tytsjerksteradiel",0.248816669106524,0.468710888610763,0.25,23.9,0.03,"1"
"Uden",0.157253339582845,1.93064282261962,0.28,25.5,0.08,"2"
"Uitgeest",0.111338332197228,1.72383073496659,0.26,27.8,0.05,"2"
"Uithoorn",0.102261884716843,2.18287671232877,0.32,27.5,0.12,"3"
"Urk",0.14390954257324,1.70425321463897,0.17,24,0.02,"1"
"Utrecht (gemeente)",0.0555501303672744,3.47880713619403,0.53,26.3,0.22,"3"
"Utrechtse Heuvelrug",0.124205394062828,1.11521207177814,0.39,30.2,0.07,"2"
"Vaals",0.153001936733376,1.46138002059732,0.21,22.2,0.05,"2"
"Valkenburg aan de Geul",0.167362876861606,0.711070559610706,0.26,25.3,0.03,"1"
"Valkenswaard",0.149062945610104,2.10583224115334,0.21,25.3,0.04,"1"
"Veendam",0.101171015871129,1.47947693425354,0.22,22.2,0.07,"2"
"Veenendaal",0.145382809768766,2.95224019912881,0.28,24.8,0.12,"3"
"Veere",0.170972695106482,0.250684931506849,0.22,26.7,0.02,"1"
"Veldhoven",0.139292016277144,2.48960429242119,0.34,27,0.06,"2"
"Velsen",0.089237528953841,2.74977817213842,0.25,25.8,0.09,"2"
"Venlo",0.128886089679665,2.31661224893638,0.23,23.3,0.12,"3"
"Venray",0.181647509578544,1.41299357208448,0.25,24.7,0.09,"2"
"Vianen",0.135238249857943,1.2895537525355,0.27,26.5,0.1,"3"
"Vlaardingen",0.0990101354551482,3.57083333333333,0.22,23.6,0.2,"3"
"Vlagtwedde",0.160221550855992,0.296040226272784,0.22,22,0.04,"1"
"Vlissingen",0.105605389948686,2.79554154469714,0.19,23.1,0.11,"3"
"Voerendaal",0.17469165085389,0.498797113071371,0.33,26.8,0.03,"1"
"Voorschoten",0.11609612193473,2.65191623864085,0.37,30.9,0.09,"2"
"Voorst",0.186951304237984,0.716646014043784,0.27,26.3,0.03,"1"
"Vught",0.111543760857845,1.93582887700535,0.4,29.9,0.04,"1"
"Waalre",0.136524661640476,1.05443786982249,0.36,31.3,0.05,"2"
"Waalwijk",0.1326494517156,1.82071292976165,0.24,24.9,0.08,"2"
"Waddinxveen",0.136307529536237,2.27807083647325,0.27,26.7,0.08,"2"
"Wageningen",0.0793984060330791,2.71632865314613,0.45,25.3,0.12,"3"
"Wassenaar",0.122752098041828,2.07485604606526,0.39,39.3,0.11,"3"
"Waterland",0.143208411056469,0.878542510121457,0.28,29.6,0.05,"2"
"Weert",0.148249579305111,1.79810407422348,0.24,24.8,0.1,"3"
"Weesp",0.0969754744778577,2.56296691568837,0.34,26.9,0.15,"3"
"Werkendam",0.18525564803805,0.74487895716946,0.18,26.5,0.03,"1"
"West Maas en Waal",0.152207123904479,0.292087095061073,0.25,25.6,0.02,"1"
"Westerveld",0.137235194062162,0,0.24,25.6,0.02,"1"
"Westervoort",0.125916614288707,1.84789859906604,0.23,24.3,0.08,"2"
"Westland",0.188578092108252,2.11939026699489,0.24,26.3,0.06,"2"
"Weststellingwerf",0.164194719675057,0.830210772833724,0.15,23,0.04,"1"
"Westvoorne",0.114383846794338,0.732117812061711,0.26,31.8,0.04,"1"
"Wierden",0.298132448703772,0.943045810978126,0.29,26.4,0.02,"1"
"Wijchen",0.136796404905172,1.72627201565558,0.31,25.8,0.05,"2"
"Wijdemeren",0.130953144029229,0.733049040511727,0.27,30.1,0.04,"1"
"Wijk bij Duurstede",0.128942063853306,1.63744680851064,0.28,27.9,0.05,"2"
"Winsum",0.176839511703438,0.444852941176471,0.31,24.2,0.03,"1"
"Winterswijk",0.157028913260219,1.77420470262794,0.2,23.5,0.06,"2"
