"Muni","CDA_frac","GL_frac","Urban_index","High_educated_frac","Mean_income","CDA_abs","GL_abs","Total_abs"
"Menterwolde",0.095,0.073,0.329,0.21,22.8,721,559,7624
"Meppel",0.136,0.091,1.746,0.31,23.9,2893,1928,21212
"Midden-Delfland",0.189,0.065,1.851,0.32,30.4,2431,841,12846
"Midden-Drenthe",0.176,0.072,0.361,0.26,24.7,3871,1574,21956
"Mill en Sint Hubert",0.205,0.045,0.236,0.21,25.3,1479,326,7216
"Moerdijk",0.144,0.055,1.071,0.26,26.1,3276,1253,22676
"Molenwaard",0.174,0.029,0.422,0.21,27.2,3261,553,18776
"Montferland",0.187,0.054,1,0.2,24,4284,1237,22927
"Montfoort",0.165,0.058,0.866,0.29,28.7,1504,528,9126
"Mook en Middelaar",0.12,0.108,0.438,0.31,29.5,642,580,5359
"Neder-Betuwe",0.11,0.028,0.517,0.19,24.6,1582,404,14387
"Nederweert",0.217,0.047,0.755,0.27,25.1,2317,501,10687
"Neerijnen",0.147,0.042,0,0.28,28,1134,326,7710
"Nieuwegein",0.107,0.086,2.896,0.27,25.6,3965,3201,37169
"Nieuwkoop",0.178,0.057,0.514,0.26,28.2,3186,1019,17893
"Nijkerk",0.185,0.048,1.733,0.22,26.3,4877,1269,26400
"Nijmegen",0.067,0.204,3.016,0.43,23.8,7384,22391,109811
"Nissewaard",0.094,0.061,2.74,0.2,25.2,4789,3093,51003
"Noord-Beveland",0.149,0.054,0,0.25,24.6,698,253,4693
"Noordenveld",0.125,0.1,0.84,0.3,25.5,2597,2082,20777
"Noordoostpolder",0.203,0.049,0.967,0.2,24.2,5647,1346,27750
"Noordwijk",0.116,0.072,2.438,0.29,28.7,1906,1174,16412
"Noordwijkerhout",0.14,0.065,1.802,0.24,26.3,1443,669,10310
"Nuenen, Gerwen en Nederwetten",0.146,0.08,1.596,0.4,30,2269,1240,15502
"Nunspeet",0.166,0.029,1.137,0.19,25.2,2925,509,17628
"Nuth",0.182,0.064,0.474,0.3,25.9,1836,646,10114
"Oegstgeest",0.104,0.103,2.634,0.45,34,1560,1547,15023
"Oirschot",0.197,0.051,0.71,0.26,27.6,2383,617,12093
"Oisterwijk",0.147,0.078,1.464,0.33,28.4,2438,1293,16603
"Oldambt",0.102,0.072,1.039,0.16,21.6,2412,1715,23674
"Oldebroek",0.195,0.027,0.897,0.18,24.1,2863,392,14653
"Oldenzaal",0.208,0.066,2.177,0.27,24.7,4277,1350,20516
"Olst-Wijhe",0.207,0.08,0.503,0.26,25.3,2421,937,11699
"Ommen",0.323,0.042,0.654,0.22,25.2,3739,488,11558
"Onderbanken",0.146,0.064,0.567,0.2,23.8,733,319,5016
"Oost Gelre",0.246,0.058,1.05,0.23,25,4780,1119,19403
"Oosterhout",0.119,0.073,2.225,0.27,25.9,3952,2428,33205
"Ooststellingwerf",0.17,0.08,0.483,0.2,22.9,2746,1300,16173
"Oostzaan",0.067,0.079,1.545,0.28,28.2,423,495,6294
"Opmeer",0.157,0.067,0.619,0.25,25.9,1129,482,7194
"Opsterland",0.17,0.086,0.36,0.2,24.2,3195,1610,18805
"Oss",0.145,0.063,1.909,0.26,25,7943,3447,54943
"Oud-Beijerland",0.118,0.057,2.169,0.26,27.3,1846,897,15661
"Oude IJsselstreek",0.187,0.061,0.857,0.24,23.5,4707,1538,25134
"Ouder-Amstel",0.1,0.106,1.826,0.36,31.5,833,878,8319
"Oudewater",0.188,0.054,1.218,0.27,28.3,1243,357,6617
"Overbetuwe",0.152,0.074,1.137,0.3,26.1,4543,2222,29878
"Papendrecht",0.134,0.064,2.738,0.28,26.4,2713,1296,20317
"Peel en Maas",0.236,0.048,0.735,0.2,24.9,6327,1291,26780
"Pekela",0.102,0.057,0.485,0.16,20.8,744,417,7291
"Pijnacker-Nootdorp",0.129,0.072,2.409,0.37,29.3,4114,2288,31949
"Purmerend",0.08,0.088,3.186,0.23,24.8,3826,4177,47581
"Putten",0.211,0.029,1.34,0.29,25.9,3368,471,15979
"Raalte",0.292,0.059,0.83,0.24,25.1,7112,1444,24339
"Reimerswaal",0.119,0.024,0.636,0.17,24.5,1555,312,13106
"Renkum",0.121,0.117,1.295,0.4,28.4,2524,2439,20816
"Renswoude",0.22,0.019,0.595,0.28,27,709,62,3230
"Reusel-De Mierden",0.202,0.045,0.708,0.31,25.9,1606,359,7954
"Rheden",0.11,0.102,2.169,0.3,25.2,3091,2868,28148
"Rhenen",0.126,0.061,1.088,0.28,26.3,1573,760,12455
"Ridderkerk",0.12,0.055,2.548,0.24,25.3,3460,1588,28762
"Rijnwaarden",0.142,0.055,0.352,0.14,23,958,373,6730
"Rijssen-Holten",0.204,0.028,1.718,0.2,24.7,5043,688,24776
"Roerdalen",0.167,0.053,0.276,0.24,25.2,2135,682,12794
"Roermond",0.12,0.08,2.099,0.29,23.6,3907,2595,32456
"Roosendaal",0.127,0.091,2.445,0.24,24.7,5745,4098,45131
"Rotterdam",0.06,0.119,3.546,0.31,22.9,18813,37591,315550
"Rozendaal",0.104,0.077,1.253,NA,41.6,115,85,1102
"Rucphen",0.115,0.033,0.909,0.21,24.7,1575,456,13741
"Schagen",0.12,0.082,0.989,0.26,25.6,3545,2433,29618
"Scherpenzeel",0.17,0.025,1.319,0.28,25.6,1059,158,6212
"Schiedam",0.079,0.084,3.636,0.19,23.1,3274,3444,41235
"Schiermonnikoog",0.139,0.151,0,NA,23.9,138,149,990
"Schinnen",0.182,0.068,0.494,0.34,26,1576,591,8644
"Schouwen-Duiveland",0.135,0.052,0.553,0.22,26.2,3053,1178,22671
"Simpelveld",0.175,0.058,0.831,0.22,24.1,1154,383,6613
"Sint-Michielsgestel",0.156,0.072,0.759,0.3,28.1,2821,1309,18106
"Sint Anthonis",0.263,0.047,0.192,0.18,26.3,2070,372,7861
"Sittard-Geleen",0.15,0.08,2.048,0.25,23.8,8609,4576,57228
"Sliedrecht",0.131,0.043,2.423,0.21,24.6,1990,659,15157
"Slochteren",0.133,0.083,0.003,0.27,25,1250,782,9429
"Sluis",0.139,0.055,0.431,0.28,24.9,1881,742,13506
"Smallingerland",0.173,0.08,1.832,0.25,23,6048,2800,34890
"Soest",0.116,0.08,2.197,0.35,28.6,3414,2334,29358
"Someren",0.195,0.043,0.893,0.2,25.2,2349,522,12023
"Son en Breugel",0.161,0.071,0.838,0.35,29.7,1702,754,10565
"Stadskanaal",0.172,0.051,1.063,0.17,21.5,3318,990,19280
"Staphorst",0.176,0.02,0.386,0.18,24.5,1893,212,10730
"Stede Broec",0.139,0.067,1.845,0.19,24.6,1829,882,13167
"Steenbergen",0.128,0.048,0.955,0.22,24.8,1830,686,14346
"Steenwijkerland",0.194,0.058,0.74,0.22,23.6,5441,1628,28023
"Stichtse Vecht",0.117,0.08,1.75,0.34,29.4,4789,3263,40895
"Strijen",0.148,0.05,0.719,0.22,27.2,874,296,5898
"Ten Boer",0.178,0.11,0.528,0.27,24.7,852,527,4799
"Terneuzen",0.14,0.058,1.12,0.2,24.5,4244,1754,30348
"Terschelling",0.116,0.092,0,0.23,25.9,423,335,3650
"Texel",0.134,0.102,0.783,0.28,24.3,1310,1003,9812
"Teylingen",0.138,0.077,2.304,0.33,29.8,3218,1789,23324
"Tholen",0.12,0.031,0.557,0.16,24,1902,491,15860
"Tiel",0.097,0.083,2.075,0.21,24.3,2319,1982,23934
"Tilburg",0.094,0.122,3.066,0.31,23.4,11174,14456,118920
"Tubbergen",0.42,0.027,0.21,0.23,25.5,5749,374,13682
"Twenterand",0.297,0.028,0.663,0.2,22.9,6200,589,20851
"Tynaarlo",0.114,0.112,0.558,0.35,27.7,2509,2485,22105
"Tytsjerksteradiel",0.249,0.074,0.469,0.25,23.9,5099,1526,20493
"Uden",0.157,0.064,1.931,0.28,25.5,4026,1644,25602
"Uitgeest",0.111,0.093,1.724,0.26,27.8,980,815,8802
"Uithoorn",0.102,0.077,2.183,0.32,27.5,1822,1368,17817
"Urk",0.144,0.002,1.704,0.17,24,1680,29,11674
"Utrechtse Heuvelrug",0.124,0.097,1.115,0.39,30.2,4025,3136,32406
"Vaals",0.153,0.068,1.461,0.21,22.2,711,315,4647
"Valkenburg aan de Geul",0.167,0.069,0.711,0.26,25.3,1843,762,11012
"Valkenswaard",0.149,0.062,2.106,0.21,25.3,2927,1227,19636
"Veendam",0.101,0.07,1.479,0.22,22.2,1702,1183,16823
"Veenendaal",0.145,0.052,2.952,0.28,24.8,5822,2079,40046
"Veere",0.171,0.054,0.251,0.22,26.7,2561,811,14979
"Veldhoven",0.139,0.069,2.49,0.34,27,3868,1913,27769
"Velsen",0.089,0.081,2.75,0.25,25.8,3737,3389,41877
"Venlo",0.129,0.072,2.317,0.23,23.3,7367,4138,57159
"Venray",0.182,0.061,1.413,0.25,24.7,4741,1583,26100
"Vianen",0.135,0.071,1.29,0.27,26.5,1666,870,12319
